"category","title","paper_ids","years","venues","tags","representative_scope_note","representative_gap_note","retrieved_via","source_runs"
"核心：量子路由","Asynchronous entanglement routing for the quantum internet","arxiv:2312.14300v1; doi:10.1116/5.0172819; openalex:W4390971856","2023-12; 2024-01","AVS Quantum Science; arXiv","assumption_audit_and_pivot; generative_process_redesign; reframe_as_solvable_object; structural_prior_encoding","Maintains a dynamic entanglement topology and performs asynchronous navigation without global round resets.","Preserving partial progress removes global resets, but the paper does not test whether concurrently retained request-owned chains leave any completion sequence under finite memory.","openalex; user_ref","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; quantum-routing-scenario-gap_2; request-salvage-routing"
"核心：量子路由","Beyond Entanglement Routing: Source Assignment and All-Optical Switching-Based Distribution","openalex:W4404562691","2024-11","IEEE Transactions on Networking","assumption_audit_and_pivot; heterogeneous_decomposition; relax_discrete_search_to_continuous","Jointly optimizes routing, limited entangled-photon sources, and nonlocal optical distribution.","Source assignment and alternative distribution operators are covered; no evidence of a logical execution-state gap.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","Blockchain-Based Self-Sovereign Identity for Routing in Inter-Domain Networks","semanticscholar:62a897326b16502bb6540535df5286905f68738d","2024-01","IEEE Communications Magazine","reframe_as_solvable_object; structural_prior_encoding","identity and privacy in classical inter-domain routing","off-core; does not address quantum resource lifetimes or conditional demands","semanticscholar","quantum-routing-scenario-gap_2"
"核心：量子路由","Cold War Museology","openalex:W4404185711","2024-11","","outside_taxonomy","Developing inclusive interpretation and display practices for Cold War museum collections.","This humanities volume is unrelated to the technical taxonomy for quantum-network routing.","openalex","negative-progress-prefix-drl"
"核心：量子路由","Continuously distributing entanglement in quantum networks with regular topologies","openalex:W4391556548","2024-08","Physical review. A/Physical review, A","generative_process_redesign; reframe_as_solvable_object","Optimizes the frequency of swaps in continuously operating regular quantum networks.","The objective is virtual-neighborhood size rather than completion reachability of owned partial chains under concurrent routing requests.","openalex","logical-memory-deadlock-drl_2"
"核心：量子路由","Deterministic photon source of genuine three-qubit entanglement","openalex:W4402270402","2024-01","Nature Communications","structural_prior_encoding","scalable multipartite photon source","source-level result; no network route scheduling","openalex","quantum-routing-scenario-gap_2"
"核心：量子路由","Development of Two-Dimensional Tensor Network Methods for the Variational Simulation of Quantum Many-Body States","openalex:W7167065910","2026-01","Refubium (Universitätsbibliothek der Freien Universität Berlin)","outside_taxonomy","Reducing the cost and improving the accuracy of two-dimensional tensor-network simulations.","The thesis concerns many-body simulation rather than network routing; generality beyond the studied lattices and contractions remains open.","openalex","negative-progress-prefix-drl"
"核心：量子路由","Differentiated service entanglement routing for quantum networks","openalex:W4409096629","2025-04","Quantum Science and Technology","`heterogeneous_decomposition`; br>`decompose_and_delegate`; heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","Quantum routing must maximize connections and overall efficiency while matching paths and wavelength channels to differentiated service needs.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","openalex","logical-memory-deadlock-drl_2; quantum-network-routing-innovation; teleportation-routing-rollback-gap"
"核心：量子路由","Directional quantum-squeezing-enabled nonreciprocal enhancement of entanglement","openalex:W4404920821","2024-01; 2024-12","Physical Review Applied","architectural_operator_substitution; generative_process_redesign; outside_taxonomy","Direction-dependent optical squeezing can enhance bipartite and tripartite entanglement robustness.","The physical-layer mechanism is not connected to online route selection or allocation across competing end-to-end requests.","openalex","quantum-network-routing-innovation; quantum-routing-scenario-gap_2"
"核心：量子路由","Effective routing design for remote entanglement generation on quantum networks","doi:10.1038/s41534-020-00344-4; openalex:W3124181241","2021-01","npj Quantum Information","decompose_and_delegate","Sequential path selection, capacity allocation, and operation within time windows.","The round-level allocation model does not test execution-time false conflicts or hidden conflicts caused by exact token/slot identity.","openalex; user_ref","logical-swap-execution-gap_2; request-salvage-routing"
"核心：量子路由","Efficient multiparty entanglement distribution with DODAG-X protocol","openalex:W4408600766","2025-03","openalex","reframe_as_solvable_object; structural_prior_encoding","Optimizes entanglement routing, distribution, or resource allocation under network constraints.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","openalex","logical-memory-deadlock-drl_2"
"核心：量子路由","Entanglement Routing Design Over Quantum Networks","doi:10.1109/TNET.2023.3282560; openalex:W4381198759","2023-06","IEEE/ACM ToN; IEEE/ACM Transactions on Networking","decompose_and_delegate; reframe_as_solvable_object","Uses sequential integer programs for path and aggregate entanglement-resource allocation.","Aggregate node/link capacities do not distinguish two plan sets with identical loads but different overlap on individual live EPR tokens.","openalex; user_ref","logical-swap-execution-gap_2; request-salvage-routing"
"核心：量子路由","Fast quantum interconnects via constant-rate entanglement distillation","openalex:W4402706146","2024-08","arXiv","architectural_operator_substitution; characterize_limit_then_surpass","Constant-rate distillation with numerical optimization under memory constraints.","Optimizes distillation protocols and memory overhead, not concurrent route-request buffer ownership or logical execution traces.","openalex","teleportation-purification-memory-gap"
"核心：量子路由","Faulty towers: recovering a functioning quantum random access memory in the presence of defective routers","openalex:W4404986646","2024-11","arXiv (Cornell University)","heterogeneous_decomposition; reframe_as_solvable_object; structural_prior_encoding","Recovering addressability in binary-tree QRAMs when fabrication defects break unique router paths.","Repair estimates assume a fixed failure model and moderate depth; dynamic faults, error correction, latency, and large-scale hardware remain open.","openalex","negative-progress-prefix-drl"
"核心：量子路由","FedCruise: Collaborative Cruise Guidance With Federated Policy Distillation in Multiple Ride-Hailing Platforms","semanticscholar:b63976b0bddd360e3d4c7ad3cf2aa816781d2cd0","2025-04","IEEE Internet of Things Journal","heterogeneous_decomposition; self_supervised_signal_engineering; unify_into_shared_representation","off-core analogue: multiple routing platforms need collaboration despite non-IID data and privacy restrictions.","Teacher-student distillation does not expose whether a learned congestion signal is calibrated or transferable to quantum-resource failure modes.","semanticscholar","quantum-network-routing-innovation"
"核心：量子路由","Flexible Qubit Allocation of Network Resource States","openalex:W4415885370","2025-10","arXiv","generative_process_redesign; structural_prior_encoding","Treats qubit-to-node allocation and overlay entanglement topology as design variables.","Flexible overlay and virtual shortcuts are already explicit; static assignment does not settle online consumable-state routing.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","Fragmentation-Aware Entanglement Routing for Quantum Networks","doi:10.1109/JLT.2021.3070859; openalex:W3158604495","2021-04","Journal of Lightwave Technology","assumption_audit_and_pivot; reframe_as_solvable_object","Avoids spatial fragmentation caused by advance free-qubit allocation and permits qubit sharing across candidate paths.","It reasons about allocatable/free qubits at route establishment, but does not expose whether simultaneously proposed Swap plans collide on the same live EPR token or merely share a node while using distinct slots.","openalex; user_ref","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; request-salvage-routing"
"核心：量子路由","Hybrid optimization for efficient 6G IoT traffic management and multi-routing strategy","openalex:W4405843405","2024-12","Scientific Reports","decompose_and_delegate","Jointly stabilizing clustering, cluster-head selection, and routing at IoT scale.","Realistic mobility validation and the necessity of each quantum-inspired component are unproven.","openalex","atomic-batch-quantum-routing"
"核心：量子路由","IBM quantum computers: evolution, performance, and future directions","openalex:W4409126690","2025-01","The Journal of Supercomputing","outside_taxonomy","hardware overview","not routing","openalex","quantum-routing-scenario-gap_2"
"核心：量子路由","IndexMem: Learned KV-Cache Eviction with Latent Memory for Long-Context LLM Inference","arxiv:2605.25475v2","2026-05","arXiv","targeted_self_supervised_objective","Learns future-importance-based cache eviction.","Alias threat only; no quantum routing semantics.","arxiv","entanglement-pair-eviction-routing-drl"
"核心：量子路由","Intelligent Deep Routing Agent for Optimized Entanglement Distribution in Quantum Communication Networks","openalex:W4411418924","2025-06","International Journal for Research in Applied Science and Engineering Technology","decompose_and_delegate; reframe_as_solvable_object","Scarce qubits and connection deadlines constrain entanglement-request fulfillment.","Convincing large-scale, hardware-noise, and cross-topology validation is absent.","openalex","atomic-batch-quantum-routing"
"核心：量子路由","Introduction to Satellite Quantum Transmission Networks and Handover Inter Domain Systems for World Coverage Communications","semanticscholar:886be0b2f1c44580639258901a5d86aaa9e51d57","2024-01","Tunisian-Algerian Joint Conference on Applied Computing","reframe_as_solvable_object","satellite quantum coverage and handover","discusses inter-domain handover but not request-level conditional routing","semanticscholar","quantum-routing-scenario-gap_2"
"核心：量子路由","Link-Based Pricing for Stabilizing Discrete-Time Routing Games","semanticscholar:89e8a258a6332319e6cff21abfc18b910fc755f5","2026","IEEE Control Systems Letters","assumption_audit_and_pivot; reframe_as_solvable_object; structural_prior_encoding","off-core analogue: path-level congestion incentives do not translate directly into implementable, stable link-level control.","The model assumes slowly revised classical populations and does not handle stochastic, perishable quantum resources or finite request deadlines.","semanticscholar","quantum-network-routing-innovation"
"核心：量子路由","Low-Carb BGP: A Carbon-Aware Inter-Domain Routing Extension to BGP","semanticscholar:5e3d8d60890a240e820955cc60acf3d284a13231","2024-01","Applied Networking Research Workshop","reframe_as_solvable_object","carbon-aware classical path selection","off-core; no quantum operations or entanglement demand dependencies","semanticscholar","quantum-routing-scenario-gap_2"
"核心：量子路由","Metropolitan-scale heralded entanglement of solid-state qubits","openalex:W4403917832","2024-01; 2024-10","Science Advances","architectural_operator_substitution; structural_prior_encoding","Metropolitan entanglement requires loss-resilient photon conversion, phase stabilization, heralding, and real-time feedback.","The point-to-point experiment leaves multi-hop routing, shared-memory opportunity cost, and concurrent-request scheduling open.","openalex","quantum-network-routing-innovation; quantum-routing-scenario-gap_2"
"核心：量子路由","Midterm Status Report of the ILC Technology Network Activities","arxiv:2603.01172v1","2026-03","arXiv","`outside_taxonomy`; outside_taxonomy","The report coordinates and summarizes engineering work toward the International Linear Collider.","Irrelevant to quantum-network routing.","arxiv","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; quantum-routing-scenario-gap_2; request-salvage-routing; teleportation-routing-rollback-gap"
"核心：量子路由","Multi-Tree Quantum Routing in Realistic Topologies","openalex:W4403277758","2024-10","IEEE Communications Magazine","generative_process_redesign; reframe_as_solvable_object; structural_prior_encoding","Improving asynchronous end-to-end entanglement rates while using only local link knowledge.","Asynchronous persistence increases partial-state concurrency, but the work does not expose a global safe-state constraint preventing mutually blocking partial chains.","openalex","logical-memory-deadlock-drl_2; negative-progress-prefix-drl"
"核心：量子路由","Multipath Inter-Domain Routing Protocols for Quantum Networks With Online Path Selection","semanticscholar:61a2e005b7fa21d70967c4d36da3b3c92eee8578","2026-01","IEEE Transactions on Networking","assumption_audit_and_pivot; reframe_as_solvable_object; structural_prior_encoding","topology-oblivious routing across mutually untrusted qISPs","assumes independent path requests and does not model branch-dependent DQC workflows or cancellation","semanticscholar","quantum-routing-scenario-gap_2"
"核心：量子路由","Network Digital Twin for 6G and Beyond","openalex:W4413318858","2025-01","IEEE OJ-COMS","outside_taxonomy","Surveys network-digital-twin architecture.","No consumable entanglement routing semantics.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","Observation as Participation: The Detection Theory of Energy Quantum Theory","openalex:W7114416905","2025-01","PhilPapers (PhilPapers Foundation)","outside_taxonomy","Recasting physical detectability around an Energy Quantum Theory coupling framework.","The book abstract lacks established empirical grounding and is unrelated to entanglement-network routing.","openalex","negative-progress-prefix-drl"
"核心：量子路由","On the Concurrent Multipath Entanglement Distribution in Quantum Networks","openalex:W4408324898","2024-12","openalex","reframe_as_solvable_object; structural_prior_encoding","Jointly selects multiple paths and allocates finite quantum-network resources for concurrent online requests.","The ILP/heuristic allocates route resources, but the abstract does not define a safe-state test for incremental pair creation: locally admissible partial allocations can jointly eliminate every completion sequence.","openalex","logical-memory-deadlock-drl_2"
"核心：量子路由","On Utility-optimal Entanglement Routing in Quantum Networks","arxiv:2603.01197v2; semanticscholar:4568b09aefa968ced3e819f8c7ab3f9dd014a28a","2026-03","QCNC; arXiv","`assumption_audit_and_pivot`; assumption_audit_and_pivot; br>`reframe_as_solvable_object`; br>`relax_discrete_search_to_continuous`; reframe_as_solvable_object; relax_discrete_search_to_continuous; structural_prior_encoding","Quantum network utility maximization commonly assumes routes are predetermined rather than jointly optimized with allocation.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","arxiv; semanticscholar","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2; quantum-network-routing-innovation; quantum-routing-scenario-gap_2; request-salvage-routing; single-teleportation-routing-gap-audit_3; teleportation-routing-rollback-gap"
"核心：量子路由","On-Demand Resource Allocation for a Quantum Network Hub","openalex:W4399151849","2025-12","IEEE Transactions on Quantum Engineering","reframe_as_solvable_object","Queueing and loss-system resource allocation for an entanglement-generation hub.","Existing allocations are not actively displaced; no routing-aware release choice over live pairs is modeled.","openalex","entanglement-pair-eviction-routing-drl; teleportation-purification-memory-gap"
"核心：量子路由","Practical Quantum Advantage on Partially Fault-Tolerant Quantum Computer","openalex:W4410434784","2025-05","Physical Review X","outside_taxonomy","Reduces the overhead of practical quantum computation using partially fault-tolerant logical operations.","The method addresses local fault-tolerant computation, not entanglement routing or logical-swap execution across a network.","openalex","logical-swap-execution-gap_2"
"核心：量子路由","Q-DDCA: Decentralized Dynamic Congestion Avoid Routing in Large-Scale Quantum Networks","semanticscholar:90f5c9ea6599f58d9a0238b88b9476c6064b0991","2024-02","IEEE/ACM Transactions on Networking","adapt_via_conditioning; heterogeneous_decomposition; structural_prior_encoding","Large quantum networks require decentralized routing with only local estimates of memory congestion.","Neighbor congestion is estimated reactively, without calibrated uncertainty about resource survival, route-level downstream risk, or a causal price for consuming scarce memories.","semanticscholar","quantum-network-routing-innovation"
"核心：量子路由","Quantum algorithms for scientific computing","openalex:W4403325745","2024-10","Reports on Progress in Physics","outside_taxonomy","Assessing where quantum algorithms could deliver scientific-computing advantage.","The review supplies no entanglement-routing method; data I/O, clock mismatch, and practical advantage remain unresolved.","openalex","negative-progress-prefix-drl"
"核心：量子路由","Quantum Communication Network Routing With Circuit and Packet Switching Strategies","openalex:W4407736618","2025-02","IEEE Journal on Selected Areas in Communications","controlled_diagnostic_design; heterogeneous_decomposition; outside_taxonomy","Comparing circuit- and packet-switching strategies across heterogeneous QSDC schemes under cost and robustness trade-offs.","Evaluation on a specific modeled network does not address entanglement-memory contention, learned adaptation, or multi-request fairness.","openalex","logical-memory-deadlock-drl_2; negative-progress-prefix-drl; quantum-network-routing-innovation"
"核心：量子路由","Quantum Network Optimization: From Optimal Routing to Fair Resource Allocation","openalex:W4411027553","2025-05","Proceedings of the ACM on Measurement and Analysis of Computing Systems","algebraic_equivalence_unification; reframe_as_solvable_object; unify_into_shared_representation","Routing metrics, optimal routes, fairness, and resource constraints are usually studied separately or with ad-hoc fairness objectives.","The framework supplies offline optimality/near-optimality but not an online policy that internalizes uncertain congestion externalities while preserving fairness over time.","openalex","quantum-network-routing-innovation"
"核心：量子路由","Quantum Network Routing Design with Dynamic Requests Scheduling in Multi-User Environments","semanticscholar:b98b1da0998e7cfd2e8ccc0f30d3d53c2de1a3ab","2025-05","International Conference on Wireless Communications and Mobile Computing","`decompose_and_delegate`; br>`heterogeneous_decomposition`","Routing alone neglects timeslot contention and latency among concurrent users in networks without classical buffering.","The centralized priority policy lacks starvation/fairness analysis, asynchronous implementation, stale-state handling, and recovery from mid-schedule entanglement failures.","semanticscholar","teleportation-routing-rollback-gap"
"核心：量子路由","Quantum Routing Beyond Pathfinding: Multipartite Entanglement Complementation","arxiv:2604.13834v1","2026-04","arXiv","`assumption_audit_and_pivot`; architectural_operator_substitution; assumption_audit_and_pivot; br>`architectural_operator_substitution`; reframe_as_solvable_object; structural_prior_encoding","Treating pathfinding as a prerequisite imposes NP-complete discovery and prevents routing from exploiting genuinely multipartite quantum connectivity.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","arxiv","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2; purification-memory-routing-audit; quantum-routing-scenario-gap_2; request-salvage-routing; single-teleportation-routing-gap-audit_3; teleportation-routing-rollback-gap"
"核心：量子路由","Quantum routing with teleportation","openalex:W4402601179","2024-09","Physical Review Research","reframe_as_solvable_object; structural_prior_encoding","Optimizes entanglement routing, distribution, or resource allocation under network constraints.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","openalex","logical-memory-deadlock-drl_2"
"核心：量子路由","RELiQ: Scalable Entanglement Routing via Reinforcement Learning in Quantum Networks","openalex:W4416961031","2025-12","IEEE Transactions on Communications","adapt_via_conditioning; reframe_as_solvable_object; structural_prior_encoding; unify_into_shared_representation","Dynamic probabilistic links make global-information routing heuristics brittle or quickly stale.","Its action is route traversal and its feasibility is local/path based; it does not choose Create–Swap operations subject to a global completion-reachability constraint over concurrent partial chains.","openalex; user_ref","atomic-batch-quantum-routing; entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; request-salvage-routing"
"核心：量子路由","Request Scheduling in Quantum Networks","doi:10.1109/TQE.2021.3090532; openalex:W3174257961; openalex:W4406728134","2021-01; 2021-07","IEEE TQE; IEEE Transactions on Quantum Engineering","decompose_and_delegate","Separates request scheduling from path selection to improve service under contention.","Request ordering cannot express which live pair should be destroyed to make a currently blocked route feasible.","openalex; user_ref","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; request-salvage-routing"
"核心：量子路由","Resource Efficient Link-Set Configuration Based Entanglement Routing","openalex:W4402557629","2024-09","IEEE Transactions on Communications","heterogeneous_decomposition; reframe_as_solvable_object","Jointly utilizes multiple paths through link-set configuration rather than scoring paths independently.","Multipath interaction is already explicit; logical lifecycle details would need to change decisions beyond this link-set abstraction.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","RL with Residual GCNs for CVRP","openalex:W4414009971","2025-06","optimization venue","architectural_operator_substitution; relax_discrete_search_to_continuous","Learns heuristics for capacitated vehicle routing.","Warns that GNN/RL action design is not by itself a quantum contribution.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","Satellite-Terrestrial Quantum Networks and the Global Quantum Internet","openalex:W4403278185","2024-10","IEEE Communications Magazine","`heterogeneous_decomposition`","A global quantum network must divide entanglement distribution, coordination, correction, and distillation across space and terrestrial layers.","The architecture assumes futuristic memory and leaves routing, handover, weather-aware scheduling, control-plane failure, and transactional rollback unspecified.","openalex","teleportation-routing-rollback-gap"
"核心：量子路由","SatQNet: Satellite-assisted Entanglement Routing Using Directed Line GNNs","arxiv:2604.09306v1","2026-04","arXiv","architectural_operator_substitution; structural_prior_encoding","Encodes directed edge state in a decentralized GNN for dynamic topologies.","Local incomplete information and changing topology are covered but depend on physical mobility and feedback assumptions excluded here.","arxiv","single-teleportation-routing-gap-audit_3"
"核心：量子路由","SatQNet: Satellite-assisted Quantum Network Entanglement Routing Using Directed Line Graph Neural Networks","arxiv:2604.09306v1","2026-04","arXiv","adapt_via_conditioning; architectural_operator_substitution; reframe_as_solvable_object; structural_prior_encoding; unify_into_shared_representation","Satellite motion makes global topology stale while decentralized agents observe incomplete local state.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","arxiv","atomic-batch-quantum-routing; logical-memory-deadlock-drl_2; quantum-routing-scenario-gap_2"
"核心：量子路由","SC-Route: A Scalable Cross-Layer Secure Routing Method for Multi-Hop Inter-Domain Wireless Networks","semanticscholar:7844a37a78d0374a9dc59719ecf5d221bb390c85","2025-01","Mathematics","assumption_audit_and_pivot; reframe_as_solvable_object","multi-objective secure classical inter-domain routing","off-core analogue; no quantum memory, swapping, or entanglement workflow semantics","semanticscholar","quantum-routing-scenario-gap_2"
"核心：量子路由","Scientific software development in the AI era: reproducibility, MLOps, and applications in soft matter physics","openalex:W4416774461","2025-11","Frontiers in Physics","outside_taxonomy","Making AI-enabled scientific software reproducible, governed, and sustainable.","The practitioner synthesis provides no quantum-network routing mechanism; operational validation of its blueprint remains open.","openalex","negative-progress-prefix-drl"
"核心：量子路由","Secure Communication in Drone Networks","openalex:W4413279544","2025-08","Drones","outside_taxonomy","Surveys UAV security and key management.","Unrelated to entanglement routing.","openalex","single-teleportation-routing-gap-audit_3"
"核心：量子路由","Spatio-temporal economic planning weighted routing model for agricultural land-use management in peri-urban zones: a case study of the Kyiv agglomeration","semanticscholar:ee7be18835fa95faf3e603ada160eff1b89bea6d","2026-06","Zemleustrìj, Kadastr ì Monìtorìng Zemelʹ","controlled_diagnostic_design; structural_prior_encoding; unify_into_shared_representation","off-core analogue: dynamic routing must combine heterogeneous telemetry, cost, emissions, risk, and hard spatial restrictions.","The manually weighted classical decision service offers no mechanism for probabilistic entanglement quality or learning under censored resource outcomes.","semanticscholar","quantum-network-routing-innovation"
"核心：量子路由","State of the Art in Parallel and Distributed Systems: Emerging Trends and Challenges","openalex:W4407407874","2025-02","Electronics","outside_taxonomy","Surveying emerging parallel and distributed computing paradigms and challenges.","The broad review offers no executable entanglement-routing or reinforcement-learning mechanism.","openalex","negative-progress-prefix-drl"
"核心：量子路由","Stochastic Multipath Routing for High-Throughput Entanglement Distribution in Quantum Repeater Networks","arxiv:2603.25563v2","2026-03","arXiv","`architectural_operator_substitution`; assumption_audit_and_pivot; reframe_as_solvable_object; structural_prior_encoding","Single-best-path routing underuses capacity, whereas global optimization is too expensive for real-time control.","Checks paths, allocations, or immediate operation feasibility, but does not establish whether a partially created multi-request EPR state still has any legal Create–Swap–Consume completion sequence.","arxiv","logical-memory-deadlock-drl_2; quantum-routing-scenario-gap_2; request-salvage-routing; teleportation-routing-rollback-gap"
"核心：量子路由","Swapping-Based Entanglement Routing Design for Congestion Mitigation in Quantum Networks","doi:10.1109/TNSM.2023.3275815; openalex:W4376478938","2023-12","IEEE TNSM; IEEE Transactions on Network and Service Management","generative_process_redesign; reframe_as_solvable_object","Recycles idle link-level entanglement by swapping and reallocates resources around bottlenecks.","It addresses which resources to move or recycle, but does not establish whether node/link-level conflict abstractions exactly characterize compatibility among multiple live-token Swap plans.","openalex; user_ref","entanglement-pair-eviction-routing-drl; logical-memory-deadlock-drl_2; logical-swap-execution-gap_2; request-salvage-routing"
"核心：量子路由","SwappingBoost: Optimizing Entanglement Routing by Mitigating Bottlenecks in Quantum Networks","openalex:W4411950039","2025-05","","assumption_audit_and_pivot; heterogeneous_decomposition; relax_discrete_search_to_continuous","Fixed upstream reservation wastes downstream resources after swap failures and overloads bottleneck links.","Decreasing reservation reacts to expected loss but does not learn a posterior over survival, distinguish epistemic from stochastic risk, or price the future value of released memories.","openalex","quantum-network-routing-innovation"
"核心：量子路由","Testing quantum theory on curved spacetime with quantum networks","openalex:W4400222406","2025-01","Physical Review Research","outside_taxonomy","quantum-network sensing protocol","not routing","openalex","quantum-routing-scenario-gap_2"
