"论文","已经解决场景","是否考虑交换顺序","论文来源"
"Towards Optimal Orders for Entanglement Swapping in Path Graphs: A Greedy Approach","面向单条异构 repeater path，在持续纠缠生成和 memory allocation 模型下搜索完整 swapping order，以最大化端到端纠缠交付率；提出动态局部评分的贪心算法。","是（显式优化完整 swapping order）","IEEE Quantum Computing and Engineering 2025; DOI: 10.1109/QCE65121.2025.00138; Zotero sweep-order/AK399PBE"
"Optimized Generation of Entanglement by Real-Time Ordering of Swapping Operations","面向单个源宿请求，在链路持续生成纠缠的环境中，根据实时成功/失败状态逐步选择路由或下一次 swap，以降低端到端纠缠生成延迟。","是（运行时动态决定顺序）","IEEE Quantum Computing and Engineering 2024; DOI: 10.1109/QCE60285.2024.00228; Zotero sweep-order/8AREUHLQ"
"Reinforcement Learning for Entanglement Swapping in Quantum Networks","面向单个 Alice–Bob 目标，以 Bell graph 表示状态，RL 每一步在纠缠生成和 swapping 原子动作中选择，以学习端到端纠缠建立策略。","是（RL 逐步选择 swap）","IEEE QCNC 2025; DOI: 10.1109/QCNC64685.2025.00051; Zotero key: L96VDUKN"
"An Efficient Scheduling Scheme of Swapping and Purification Operations for End-to-End Entanglement Distribution in Quantum Networks","面向一条给定路径，在有限 quantum memory 和持续生成的纠缠对上，联合安排 swapping 与 purification；提出任意长度路径的 concurrent swapping、prioritized purification 和 FMSPP。","是（显式调度 swapping sequence）","IEEE Transactions on Network Science and Engineering 2024; DOI: 10.1109/TNSE.2023.3299177; Zotero key: X3ZWU899"
"A Fast Heuristic Entanglement Distribution Algorithm for Quantum Repeater Chains","面向单条 repeater chain，把完整 swapping structure 表示为二叉树并搜索最大 entanglement distribution rate 的结构；提出 FastHED 动态规划启发式，但假设 memory 足够大且足够长寿命。","是（优化二叉交换树）","IEEE Transactions on Networking 2025; DOI: 10.1109/TNET.2024.3475378; Zotero key: PMV6JTHH"
"REDiP: Ranked Entanglement Distribution Protocol for the Quantum Internet","面向单条 connection-oriented tunnel，由链路层持续生成纠缠；用 rank vector 预装 swapping 和 purification 的完整次序，相同 rank 可并行，并为 tunnel 估计链路预留带宽。","是（rank vector 配置完整次序）","IEEE Open Journal of the Communications Society 2024; DOI: 10.1109/OJCOMS.2023.3345166; Zotero sweep-order/KKHITYTJ"
"Fast and Reliable Entanglement Distribution with Quantum Repeaters: Principles for Improving Protocols Using Reinforcement Learning","面向单条 repeater chain，每个节点最多两个 quantum memories；Q-learning 在每个物理 time step 选择 elementary-link generation、wait 或 swap，联合优化等待时间和 fidelity。","是（状态依赖的动态顺序）","Physical Review Applied 2024; DOI: 10.1103/PhysRevApplied.21.024041; Zotero sweep-order/KG2SLNQ7"
"Request Scheduling in Quantum Networks","集中式 time-slotted 多请求调度：每个 slot 开始时各链路生成一次本地纠缠，控制器根据成功图联合选择本 slot 服务的请求和路径，其余请求排队；未使用的本地纠缠在 slot 后丢弃。","否（仅指定 swap 节点和 memory slots）","IEEE Transactions on Quantum Engineering 2021; DOI: 10.1109/TQE.2021.3090532; Zotero sweep-order/327ECTT8"
"Learning to Schedule Quantum Networks with Fairness and Completion Time Awareness","多请求、有限节点 memory 和链路容量下，DRL 输出请求处理顺序，兼顾总等待时间和公平性；资源在请求完成后释放，路径和请求内 swapping order 不由智能体选择。","部分（固定 sequential，不作为决策变量）","IEEE Internet of Things Journal 2025, vol. 12 no. 24; Zotero key: 8FAN8TXZ"
"Asynchronous Entanglement Routing for the Quantum Internet","分布式维护动态 entanglement topology，链路持续生成并保存未使用的直接纠缠；请求逐跳选择 next hop 并立即 swap，可支持并发 connection requests，但假设节点容量至少覆盖所有相邻链路容量。","部分（逐跳即时 swap，顺序由导航隐式形成）","AVS Quantum Science 2024; DOI: 10.1116/5.0172819; Zotero sweep-order/CKWLXV75"
"Concurrent Entanglement Routing for Quantum Networks: Model and Designs (conference version)","Q-CAST 面向多请求并发路由，在有限节点 qubits 和链路容量下生成候选路径、分配资源，并在一个原子 slot 中依次执行链路纠缠生成和局部 swapping，以最大化总 ebits。","部分（局部配对和恢复规则，不选择完整顺序）","ACM SIGCOMM 2020; DOI: 10.1145/3387514.3405853; Zotero key: 95ZRR2FI"
"Concurrent Entanglement Routing for Quantum Networks: Model and Designs (journal version)","扩展 Q-CAST 的多请求并发 entanglement routing 模型和设计，考虑有限资源、候选路径、并发资源分配与 swapping，但不把完整 swap order 作为跨请求候选。","部分（局部 swapping 规则，不优化完整顺序）","IEEE/ACM Transactions on Networking 2024; DOI: 10.1109/TNET.2023.3343748; Zotero key: DPWCJGGZ"
"Dynamic Entanglement Routing Based on Stream Processing for Quantum Networks","集中式处理动态到达的多请求，采用 stream processing 动态调整路径与资源分配，并允许完成请求释放资源；系统仍使用同步的 EL generation 阶段和 EC establishment 阶段，不优化完整 swap order。","部分（同步 swapping，不优化 order）","IEEE/ACM Transactions on Networking 2025; DOI: 10.1109/TNET.2024.3485919; Zotero key: H8BMAHBJ"
"NarrowGap: Reducing Bottlenecks for End-to-End Entanglement Distribution in Quantum Networks","同一 slot 内处理多个 SD 请求，依次执行生成、纯化、路径选择、资源分配和同时 swapping；RAS 处理瓶颈公平分配，RTS 通过 supplementary paths 和 swapping 把闲置纠缠资源转移到瓶颈。","部分（统一 simultaneous swapping，无顺序选择）","IEEE Transactions on Networking 2025; DOI: 10.1109/TNET.2024.3476342; Zotero key: HW2VUI2T"
"Deep Reinforcement Learning-Based Deferred Entanglement Path Selection in Quantum Networks","多请求两阶段模型：先生成 elementary links，再依据实际成功的链路容量，用 DRL 从候选路径中批量选择 entanglement paths，以最大化连接建立率；不优化交换顺序。","否（只选择路径和分配流量）","IEEE Transactions on Networking 2026; DOI: 10.1109/TON.2026.3683478; Zotero sweep-order/DXLYJLZN"
"Fidelity-Threshold Online Path Selection and Request Scheduling in Quantum Networks","利用 mean-variance multi-armed bandit 从未知 fidelity 的路径中筛选满足阈值的候选路径，再把多个请求分配到候选路径以最大化总服务率并满足 latency、rate 和 fidelity 需求。","否（不把 swap order 建模为变量）","Zotero PDF/preprint; Zotero key: B496ZKX4; 正式出版信息未标注"
"Priority-Aware GNN-DRL Routing for Fidelity-Constrained Quantum Networks","多请求资源竞争下，通过动态优先级确定请求处理顺序，GNN-DRL 为当前请求选择路径，并按 fidelity 需求配置 purification；动作是候选路径而不是 swap order。","否（动作仅为候选路径）","Zotero PDF/preprint; Zotero key: Z5YAK7LC; 正式出版信息未标注"
"Fidelity-Guaranteed Entanglement Routing in Quantum Networks","面向单请求和多请求，在端到端 fidelity 约束下联合选择路径、分配链路纠缠资源并配置 purification；提出 Q-PATH、Q-LEAP 和多源多目的贪心方案。","否（优化路径与纯化，不优化完整 swap order）","IEEE Transactions on Communications 2022; DOI: 10.1109/TCOMM.2022.3200115; Zotero key: 7VSARMAA"
"Enhancing Quantum Communication: A Fair and Restricted Resource Allocation Approach for Entanglement Networks","面向优先级和需求量不同的并发请求，FARA 通过动态优先级、轮询和受限资源分配提高业务成功率与公平性并减少资源浪费。","否（交换只是固定处理阶段）","IEEE Transactions on Network Science and Engineering 2025; DOI: 10.1109/TNSE.2025.3551425; Zotero key: M3YY3VYF"
"Entanglement Distribution Delay Optimization in Quantum Networks With Distillation","在 quantum switch 的 photon source 和 memory 受限时，联合分配交换机资源与 distillation 操作，在用户 rate、fidelity 约束下最小化平均纠缠分发时延。","否（优化资源与蒸馏，不优化 swap order）","IEEE Journal on Selected Areas in Communications 2025; DOI: 10.1109/JSAC.2025.3543485; Zotero key: EE7TMXLG"
"RELiQ: Scalable Entanglement Routing via Reinforcement Learning in Quantum Networks","仅依赖局部状态和迭代消息传递，以 GNN 编码拓扑、RL 学习分布式纠缠路由；在未见拓扑和动态链路上保持泛化。","否（学习路由决策，不生成完整 swap sequence）","arXiv 2025; DOI: 10.48550/arXiv.2511.22321; Zotero key: TFGY6ELK"
"Link Configuration for Fidelity-Constrained Entanglement Routing in Quantum Networks","允许每条量子链路在不同 fidelity-rate 配置间选择，联合求解 link configuration、routing 和 purification，以满足端到端 fidelity 并提高资源效率。","否（联合配置路径和纯化，不优化交换顺序）","IEEE INFOCOM 2025; DOI: 10.1109/INFOCOM55648.2025.11044462; Zotero key: GF5NTKS6"
"On Optimum Entanglement Purification Scheduling in Quantum Networks","分析多轮 purification 的最佳配对次序，给出最优链路级纯化调度以及联合 routing-purification 算法，在 fidelity 保证下获得近优吞吐。","否（考虑 purification order，不是 swapping order）","IEEE Journal on Selected Areas in Communications 2024; DOI: 10.1109/JSAC.2024.3380080; Zotero key: 5JRBVLQ2"
"Learning Best Paths in Quantum Networks","在链路质量未知时，分别利用 link-level 和 path-level feedback 在线识别最佳路径，并控制网络 benchmarking 消耗的量子资源。","否（学习最佳路径，不调度路径内 swap）","IEEE INFOCOM 2025; DOI: 10.1109/INFOCOM55648.2025.11044499; Zotero key: UDMEM5TN"
"Entangled qubit pricing for quantum networks","在量子网络 RaaS 场景中建立服务商与用户博弈，通过逐链路 ebit 定价诱导用户选择路径和购买数量，兼顾双方收益。","否（经济定价与路径购买模型）","Computer Networks 2025; DOI: 10.1016/j.comnet.2025.111728; Zotero key: CIPMKJ4L"
"Adaptive Entanglement Generation for Quantum Routing","RL 实时选择需要生成纠缠的链路，并缓存未使用纠缠、在高需求路径片段上提前 swap，以低于线性规划的计算开销提高请求成功率。","部分（会选择 proactive swap，但不枚举请求路径的完整交换顺序）","arXiv 2025; DOI: 10.48550/arXiv.2505.08958; Zotero key: TCB93SSI"
"Q-DDCA: Decentralized Dynamic Congestion Avoid Routing in Large-Scale Quantum Networks","面向大规模、分布式和自发运行的量子网络，节点仅凭局部信息感知 memory 拥塞并为多个请求动态绕行，避免无可用存储的热点节点。","部分（局部路由与即时操作隐式形成顺序）","IEEE/ACM Transactions on Networking 2024; DOI: 10.1109/TNET.2023.3285093; Zotero key: 583R4632"
"FENDI: Toward High-Fidelity Entanglement Distribution in the Quantum Internet","刻画多跳 repeater 网络中 entanglement distribution rate 与最坏端到端 fidelity 的可达权衡，并为网络设计提供性能边界和求解方法。","否（研究 rate-fidelity 路由边界，不把 swap order 作为变量）","IEEE/ACM Transactions on Networking 2024; DOI: 10.1109/TNET.2024.3450271; Zotero key: VIP9RQ9H"
"Dynamic Inhomogeneous Quantum Resource Scheduling with Reinforcement Learning","在节点性能、纠缠成功率和退相干时间异构的环境中，用 Transformer-RL 逐步选择节点对进行纠缠尝试，以构造更大、更高保真的量子资源态。","否（优化纠缠生成调度，不是 entanglement swapping order）","arXiv 2024; DOI: 10.48550/arXiv.2405.16380; Zotero key: 5QFBK75C"
"EPS Placement and Lightweight Entanglement Routing for Quantum Data Networks","LightER 联合解决分布式 entangled photon source 部署与路由：离线布置 EPS 和主路径，在线利用剩余资源快速补充路径，兼顾吞吐与公平性。","否（选择 EPS 与路径，不优化交换顺序）","IEEE ICDCS 2024; DOI: 10.1109/ICDCS60910.2024.00113; Zotero key: VLQY5RUX"
"Routing and Spectrum Allocation in Broadband Quantum Entanglement Distribution","面向单个宽带 EPR source 驱动的光网络，分别求解纠缠路由与时频 spectrum allocation，并以 max-min fairness 分配 EPR-pair rate。","否（该架构不研究 repeater swap order）","IEEE Journal on Selected Areas in Communications 2025; DOI: 10.1109/JSAC.2025.3548794; Zotero key: BT9KPKEP"
"Quantum Entanglement Path Selection and Qubit Allocation via Adversarial Group Neural Bandits","在相邻链路成功率未知且动态的情况下，用 adversarial group neural bandit 在线联合选择 entanglement path 和分配 qubits。","否（动作是路径与 qubit allocation）","IEEE Transactions on Networking 2025; DOI: 10.1109/TNET.2024.3510550; Zotero key: 97PDGUMI"
"SPARQ: Efficient Entanglement Distribution and Routing in Space–Air–Ground Quantum Networks","针对移动且异构的 space-air-ground 拓扑，用多图训练的 DQN 学习动态 entanglement routing，并以 third-party distribution 支持按需连接。","否（学习动态路径，不优化完整 swap order）","IEEE Transactions on Quantum Engineering 2024; DOI: 10.1109/TQE.2024.3464572; Zotero key: DK5L9NEM"
"A Quantum Overlay Network for Efficient Entanglement Distribution","低负载时在 overlay storage nodes 预生成并保存 EPR pairs，高负载时从直连路径或经存储节点的路径执行 swapping；集中优化链路纠缠与存储资源。","部分（使用存储节点和 swap，但路径内顺序固定或未优化）","IEEE INFOCOM 2023; DOI: 10.1109/INFOCOM53939.2023.10228944; Zotero key: BZLJWBZ3"
"Exploring the Structural Property of the Optimal Entanglement Policy for Quantum Switch","对具有 decoherence 的单个 quantum switch 建立 MDP，根据已存链路纠缠数量选择 bipartite 或 tripartite measurement，并证明最优策略具有阈值结构。","部分（优化单交换机的测量时机和类型，不是多跳完整交换顺序）","IEEE INFOCOM 2025; DOI: 10.1109/INFOCOM55648.2025.11044695; Zotero key: 6VFKDJ2C"
"Maximizing Entanglement Routing Rate in Quantum Networks: Approximation Algorithms","面向多 demand、容量与 fidelity 约束，建立最大化接纳请求数的 MERR 整数规划，并给出具有近似保证的确定性和随机舍入算法。","否（只联合选择请求与路径）","IEEE Transactions on Network Science and Engineering 2025; DOI: 10.1109/TNSE.2025.3542332; Zotero key: LAT49BZE"
"LinkSelFiE: Link Selection and Fidelity Estimation in Quantum Networks","把未知 fidelity 下的优质链路发现建模为 best-arm identification，通过自适应淘汰减少 benchmarking 所消耗的量子资源并估计最佳链路 fidelity。","否（链路识别问题，不涉及 swapping sequence）","IEEE INFOCOM 2024; DOI: 10.1109/INFOCOM52122.2024.10621263; Zotero key: Z6B2JCB3"
"Surrogate-guided optimization in quantum networks","用机器学习 surrogate 替代昂贵的量子网络仿真评估，优化 memory allocation、quantum switch 物理参数和复杂网络协议配置。","部分（可调交换机或协议参数，但不输出完整 swap order）","npj Quantum Information 2025; DOI: 10.1038/s41534-025-01048-3; Zotero key: 2KRLM457"
"QuESat: Satellite-Assisted Quantum Internet for Global-Scale Entanglement Distribution","提出地面光纤与低轨卫星被动光网络结合的全球纠缠分发架构，动态构造 photon lightpaths 并评估跨洲分发的资源和性能。","否（架构与 lightpath 设计，不优化 swap order）","IEEE INFOCOM 2025; DOI: 10.1109/INFOCOM55648.2025.11044649; Zotero key: QPXGLANE"
"Deep Reinforcement Learning Based Topology Independent Routing and Load-Balancing in QKD Networks using Graph Neural Networks","在 trusted-node QKD 网络中，GNN-DRL 根据密钥余量集中选择路由并做负载均衡，可泛化到训练时未见的拓扑。","否（QKD 密钥路由，不存在 entanglement swapping）","IEEE ICTON 2025; DOI: 10.1109/ICTON67126.2025.11125037; Zotero key: 9JUKH8QN"
"QPLAN: Deep Reinforcement Learning Assisted Quantum Network Planning","将多智能体 DRL 与传统优化结合，面向端到端纠缠需求做两阶段量子网络规划和资源部署，提高大规模规划的可扩展性。","否（离线网络规划，不调度 swap）","IEEE QCNC 2025; DOI: 10.1109/QCNC64685.2025.00063; Zotero key: I38LMZY7"
"Fidelity-Aware Multipath Routing for Multipartite State Distribution in Quantum Networks","为 GHZ 等 multipartite state distribution 设计 fidelity-aware multipath routing，并通过 memory storage-time cutoff 权衡分发率与 fidelity。","否（优化多路径与存储截止时间，不优化交换顺序）","IEEE Transactions on Quantum Engineering 2025; DOI: 10.1109/TQE.2025.3588783; Zotero key: 5W3L3FWA"
